"","comicName","comicSummary","comicGrade"
"383","귀신 청정구역","귀신도 귀신 무서움","8.56"
"384","아엠낫히어로","악당영웅의아이키우다","9.28"
"385","아수라게이트","아수라 죽이기","9.43"
"386","500원 토끼","500원토끼의일상","9.74"
"387","버츄얼 이온","버튜버가 된 소녀","7.76"
"388","깜빡깜빡","반짝이의 일상","9.90"
"389","망탁","호러 액션 느와르","9.51"
"390","렌즈빨 홍석순","혹시 내 눈 예뻐?","9.48"
"391","나를 죽이는 방법","지워낼수 없는 후회","9.81"
"392","어린공주","코믹 동화 판타지","9.90"
"393","까만 동화 : 인형의 집","잔혹동화","9.85"
"394","모던 던전 판타지아","골드러쉬 던전판타지","9.83"
"395","녹는점","지구온난화","9.69"
"396","나비의 세계","여름 감성 판타지","9.75"
"397","원룸202호","추리 스릴러","8.67"
"398","9 나인","밀실 감금 스릴러","9.61"
"399","어게인, 아린!","잔혹동화 판타지","9.73"
"400","오마이셋!!!","애가 셋입니다만..","9.89"
"401","시나브로","sf개그판타지","8.65"
"402","웰시네 부부에세이","삶 그림에세이","9.59"
"403","말의 씨앗을 보는 아이","말이 씨가 된다.","9.81"
"404","일찍 자고 일찍 일어나기","아침형 뱀파이어","9.90"
"405","가드","판타지 액션","9.44"
"406","두 개의 무덤을 팠다","그날의 복수를 위해","9.89"
"407","STONE AGE","스릴러 판타지","9.89"
"408","별새의 여행자","소녀의 우주여행기","8.97"
"409","점심을 위하여","대학 점심을 위하여","9.71"
"410","상지은 하시원","취업 성장 로맨스","8.91"
"411","흑묘","검은 고양이 사냥꾼","9.71"
"412","두리안은 과일이 아니야!","두리안이 나타났다!","9.44"
"413","여우자매","네이버화요웹툰","9.90"
"414","네일을 향해 쏴라","남자의 네일 도전기","8.28"
"415","LOST & FOUND","네 마음이 보여!","8.32"
"416","흑월의기사","괴물과 괴물사냥꾼","9.71"
"417","바람을 실은 메아리 (바람과 소원)","정식연재공지!","9.80"
"418","정글라이프","절망과 희망사이","9.84"
